Graphs,Triples
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
Head,4
